id,title,tagline,overview,homepage,release_date,budget,revenue,popularity,runtime,poster_path
252838,The Wedding Ringer,He's the best man... money can buy.,"Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy.",https://www.sonypictures.com/movies/theweddingringer,1/16/2015,23000000,79799880,22.105,101,/nh9VKA4LEPKkoCljnDNHtSIhKbF.jpg
109410,42,The True Story of an American Legend,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",,4/12/2013,40000000,95020213,22.097,128,/iZ7jVGQWj3eBUdqwAPUlKk0BaS2.jpg
64686,47 Ronin,For courage. For loyalty. For honor.,"Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",,12/6/2013,175000000,150962475,22.07,119,/xDHnmcroujCRG0ysYQaiswjbyHd.jpg
262841,Monster Trucks,Meet Creech,"Tripp is a high school senior with a knack for building trucks who makes an incredible discovery - a gas-guzzling creature named Creech. To protect his mischievous new friend, Tripp hides Creech under the hood of his latest creation, turning it into a real-life super-powered Monster Truck. Together, this unlikely duo with a shared taste for speed team up on a wild and unforgettable journey to reunite Creech with his family.",http://www.monstertrucksmovie.com/,12/21/2016,125000000,64493915,22.067,104,/jDKONUh6CD6M1P0sgOe3RDxy31t.jpg
306819,The Danish Girl,Find the courage to be yourself.,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",,11/27/2015,15000000,64191523,22.049,119,/mXZZIacI5FC8thzSC0lgQBQ2uAX.jpg
390062,Jungle,Nature has only one law - Survival,"In 1981, an enthusiastic young adventurer follows his dreams into the Bolivian Amazon jungle with two friends and a guide with a mysterious past. Their journey quickly turns into a terrifying ordeal as the darkest elements of human nature and the deadliest threats of the wilderness lead to an all-out fight for survival.",http://www.momentumpictures.net/jungle,6/27/2017,0,1906640,22.012,115,/tDgxknTVwrScxpCYyGUjXSn5NRk.jpg
208134,Jackass Presents: Bad Grandpa,Real people. Real reactions. Real messed up.,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.",,10/22/2013,15000000,151831537,22.009,92,/dDSMzBEaM0LYSy9Muo0zsCo77Vh.jpg
474335,Uncle Drew,Respect your elders.,Uncle Drew recruits a squad of older basketball players to return to the court to compete in a tournament.,https://www.lionsgate.com/movies/uncle-drew,6/27/2018,19000000,17665000,21.987,103,/cDjAlFbpvjuxH4gFD02fqlyk6qL.jpg
301351,We Are Your Friends,The world is yours.,"Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",,8/26/2015,6000000,11122090,21.966,96,/k8SfiPoh3zUkDpHOT22ATegS2FU.jpg
346685,The Girl on the Train,What you see can hurt you.,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",http://www.thegirlonthetrainmovie.com/,10/5/2016,45000000,173185859,21.962,112,/AhTO2QWG0tug7yDoh0XoaMhPt3J.jpg
